Unnamed: 0	count	total_hrs	total_f	avg_mins	avg_f	missing	missing_hr	most_overlap	long_title	long_id	long_date	long_length
ayame	498.0	905.0	37:17:03	109.0	1:49	244.0	313.98	Sunday (23:35-23:38) 28	【APEX】ぷらちなGOGO!!ぶんぶんぶ~~~~ん	https://youtu.be/ctNrfRXsg4I	March 07 2021	445.0
choco	1496.0	3037.0	126:13:15	122.0	2:02	864.0	1332.26	Monday (15:01) 50	【作業用BGM】へなちょこ悪魔のARK生活深夜ゲリラ編【ホロライブ/癒月ちょこ】, 【APEX】59キルするまで終われないAPEX耐久【ホロライブ/癒月ちょこ】, 【APEX】プラチナ目指して悪魔の耐久配信2日目vol1【ホロライブ/癒月ちょこ】	https://youtu.be/sePhMXpxa5o, https://youtu.be/ml2N1Zn6g7k, https://youtu.be/7yX3gVYm0Yo	June 07 2020, April 29 2021, June 25 2021	715.0
subaru	1349.0	3016.0	125:15:31	134.0	2:14	477.0	740.82	Sunday (15:04) 124	【サンズ戦】鬼畜ゲー？！アンダーテール最難関Gルート耐久最終回【Undertale / G route】	https://youtu.be/Sm-NarxvLoo	February 09 2020	701.0
mio	1129.0	1706.0	71:01:31	91.0	1:31	422.0	583.15	Monday (07:59-08:05) 92	【耐久DQXI】大神ミオと行くドラクエイレブン【２５】	https://youtu.be/UvEGBo8c7f8	May 26 2019	712.0
okayu	1055.0	2628.0	109:11:36	149.0	2:29	298.0	486.15	Saturday (23:00) 81	【トライアングルストラテジー】正義と向き合うタクティクスRPG!?完全初見で遊ぶ #最終回【猫又おかゆ/ホロライブ】※ネタバレあり	https://youtu.be/n4Ui2B4Wqis	May 09 2022	666.0
korone	959.0	3276.0	136:12:18	205.0	3:25	267.0	798.17	Saturday (23:03-23:04, 23:09-23:10) 94	【メガドラ/MD】はじめてのソニック・ザ・ヘッジホッグ2【Sonic the Hedgehog2】, R-type dimensions exやるでな	https://youtu.be/GeD-lKDv87I, https://youtu.be/P4xuSCEjD5Q	January 16 2021, January 09 2021	715.0
pekora	1365.0	3856.0	160:15:45	169.0	2:49	208.0	450.09	Tuesday (22:02-22:04) 100	【帰ってきた魔界村】発売前日!超鬼畜ゲーを先行プレイ!!!!!!!ぺこ!【ホロライブ/兎田ぺこら】	https://youtu.be/E0BB73G8Igw	February 24 2021	715.0
rushia	692.0	1880.0	78:08:02	163.0	2:43	692.0	1880.02	Sunday (19:00-19:01) 50	【メンバー限定】同時視聴☆リゼロ・氷結の絆【潤羽るしあ/ホロライブ】	https://youtu.be/3TJckdSfsa8	May 23 2021	550.0
flare	1256.0	4009.0	167:00:33	191.0	3:11	226.0	540.42	Sunday (00:01, 00:03-00:08) Tuesday (00:15-00:18) Thursday (00:02-00:13) Friday (00:01-00:04, 00:31) 91	【スプラトゥーン3】ビッグラン開催!休むな!納品しろ!!終了まで寝れない耐久!【不知火フレア/ホロライブ】, 【スプラトゥーン3】フェス後半戦!水!終了まで寝れない耐久!【不知火フレア/ホロライブ】, 【スプラトゥーン3/耐久】甘い派🍰何寝てんだ!!!ウツホ勝たせるぞ!!!【不知火フレア/ホロライブ】	https://youtu.be/zmmDPp75MP8, https://youtu.be/L2PaN_j5HtQ, https://youtu.be/1KE2LF4SHVI	December 11 2022, November 13 2022, January 08 2023	669.0
noel	927.0	2745.0	114:09:04	178.0	2:58	104.0	223.16	Sunday (11:14-11:20, 11:59-12:01, 12:04-12:23, 13:30-13:32) 64	【壷おじ耐久】30万人記念✨地獄の壷おじクリア耐久!!【白銀ノエル/ホロライブ】	https://youtu.be/Xb3N5hvZLt0	June 07 2020	668.0
marine	886.0	1767.0	73:14:53	120.0	2:00	96.0	139.82	Saturday (22:04-22:06) 55	【マリン視点】「超兄貴」同時プレイ!!先にクリアできるのはどっちか!?【罰ゲーム有り】	https://youtu.be/f5xWCO9tDVk	May 04 2020	706.0
kanata	1001.0	2313.0	96:08:52	139.0	2:19	109.0	248.38	Wednesday (19:02-19:08) 58	【FallGuys】1位になるまでやる！！！！！【天音かなた/ホロライブ4期生】	https://youtu.be/O8igr2Iv1ho	September 11 2020	712.0
coco	823.0	1743.0	72:14:43	127.0	2:07	67.0	129.61	Monday (23:00) 45	【#桐生ココ】55万人記念緊急クエスト!FPS初心者⁉うるせぇ55キルしろ!【APEX】	https://youtu.be/iNjS1MIvb70	August 21 2020	690.0
watame	1226.0	4312.0	179:15:57	211.0	3:31	214.0	346.58	Sunday (00:02-00:04) 99	【ネタバレあり】クレヨンしんちゃん『オラと博士の夏休み』#6【角巻わため/ホロライブ4期生】	https://youtu.be/iUPugOtsnp8	July 23 2021	644.0
towa	972.0	2050.0	85:09:31	127.0	2:07	93.0	151.8	Monday (22:14-22:17) 50	【APEX視聴者参加型】強化週間を過ごしたその先には…【#常闇トワ/ホロライブ】	https://youtu.be/IqKmLYnZ1dU	May 04 2020	697.0
